"","attribute","t.stat.16","t.pval.16","t.pval.adj.16","t.stat","t.pval","cohen.d","t.pval.adj"
"32","simvar72",6.57185718357815,2.89001770410233e-11,2.80042715527516e-08,5.9003898963836,1.96541597770526e-09,0.187754881961295,1.89662641848558e-06
"33","simvar43",6.5378043670248,3.61981376850367e-11,3.50397972791155e-08,6.4741871291213,5.35047407257014e-11,0.206013545133439,5.22741316890103e-08
"34","simvar58",6.468466691139,5.70600868218467e-11,5.51771039567257e-08,6.62227730438102,2.00661100283696e-11,0.210725886836918,1.96647878278022e-08
"35","simvar34",6.43981702838274,6.87740830029188e-11,6.64357641808196e-08,5.8593649097825,2.51279189492791e-09,0.186449435770108,2.4223313867105e-06
"36","simvar38",6.20631300099889,3.06089432502875e-10,2.95376302365274e-07,5.94164101114967,1.5327273199263e-09,0.189067523722211,1.4806145910488e-06
"37","simvar77",6.02203650242079,9.59024947166978e-10,9.24500049068966e-07,5.74482393915159,4.947596768537e-09,0.182804655205061,4.76453568810113e-06
"38","simvar6",6.00544602039703,1.06121033090687e-09,1.02194554866331e-06,5.45148828050465,2.65012987350935e-08,0.17347049205119,2.54147454869547e-05
"39","simvar25",5.92288553836356,1.74962491701927e-09,1.68313917017254e-06,6.30818977226799,1.56710415911834e-10,0.200731383329016,1.52322524266303e-07
"40","simvar41",5.82593624974343,3.12154420286617e-09,2.99980397895439e-06,6.01062678158754,1.00763421321818e-09,0.191262703263398,9.7438228418198e-07
"41","simvar74",5.76019507532208,4.59906653333645e-09,4.415103872003e-06,5.31106739052431,5.74946369584776e-08,0.16900219282247,5.49648729323046e-05
"42","simvar39",5.71078754527239,6.13747406623061e-09,5.88583762951516e-06,5.44371314353287,2.76760469072663e-08,0.17322308129529,2.65136529371612e-05
"43","simvar26",5.62527298873179,1.00584164356717e-08,9.63596294537345e-06,4.86598002876883,5.91678388095623e-07,0.154839175371694,0.00055972775513846
"44","simvar86",5.59541512212142,1.19325021015829e-08,1.14194045112148e-05,5.12538029582835,1.55574557386463e-07,0.163093488625186,0.000148266842679455
"45","simvar31",5.54984324304456,1.54625453248035e-08,1.47821933305121e-05,5.09272965186975,1.84708190961313e-07,0.16205452036884,0.00017584219779517
"46","simvar95",5.4865878766703,2.20847625994803e-08,2.10909482825037e-05,5.43389951770866,2.92310252928499e-08,0.172910804277908,2.79740912052574e-05
"47","simvar84",5.46561748299631,2.48344100027209e-08,2.36920271425958e-05,4.49557424160776,3.56859447706811e-06,0.143052582270646,0.00335447880844403
"48","simvar63",5.4345127928452,2.95332173185588e-08,2.81451561045865e-05,4.91090671167556,4.71618988851504e-07,0.156268776498771,0.000448038039408929
"49","simvar48",5.37255734184015,4.15937776276505e-08,3.95972763015233e-05,5.46920311642664,2.4002483616742e-08,0.174034191566969,2.30423842720723e-05
"50","simvar33",5.33357061634196,5.14997610246296e-08,4.89762727344227e-05,4.70364623105239,1.32145729273459e-06,0.149673590797824,0.00124745568434145
"51","simvar45",5.32029288015448,5.53681523676445e-08,5.25997447492622e-05,5.12557370990117,1.5541597765142e-07,0.163099643207688,0.000148266842679455
"52","simvar54",5.31819675286777,5.6004010546121e-08,5.31478060082689e-05,4.35961358236334,6.68050855423652e-06,0.138726210967038,0.00626631702387386
"53","simvar92",5.28146441302635,6.83643214316121e-08,6.48093767171683e-05,5.48094747986115,2.24734622501034e-08,0.17440790611958,2.15969972223494e-05
"54","simvar69",5.06777217339116,2.12676525876645e-07,0.000201404670005183,4.8704786997446,5.78442955420918e-07,0.154982326494395,0.00054836392173903
"55","simvar75",5.06749370960252,2.12985300926958e-07,0.000201484094676902,5.05375669275728,2.26409070596407e-07,0.160814371248808,0.000215315026137183
"56","simvar78",5.04525279005926,2.39095309466601e-07,0.000225945067445938,4.30010156946385,8.7421459244094e-06,0.136832493576587,0.0081826485852472
"57","simvar49",5.01120419043411,2.85142625710021e-07,0.00026917463867026,4.88616357532309,5.34489725197331e-07,0.155481431132314,0.000507230749212267
"58","simvar47",4.99481714452719,3.10246351879569e-07,0.000292562309822434,5.27184096044649,7.11437788593217e-08,0.167753978064063,6.79423088106522e-05
"59","simvar52",4.98256665245212,3.30391756113371e-07,0.000311229034258796,4.32976110792669,7.64864842122217e-06,0.137776282587298,0.00716678357068517
"60","simvar61",4.82074245127627,7.48473384695811e-07,0.000704313454998758,4.65991023064261,1.63387312380226e-06,0.148281878090935,0.00154074235574553
"61","simvar15",4.80566689343046,8.0670637114309e-07,0.000758303988874504,4.2337328197695,1.17536318533832e-05,0.134720589620474,0.0109896457829133
"62","simvar17",4.80477505280539,8.10284480539478e-07,0.00076085712722657,4.18937206402839,1.42919319869772e-05,0.133308996725063,0.0133343725438497
