"","attribute","t.stat.16","t.pval.16","t.pval.adj.16","t.stat","t.pval","cohen.d","t.pval.adj"
"48","simvar14",7.13107466006218,6.12983975394328e-13,5.84173728550794e-10,6.77529326843397,7.13956528419738e-12,0.217712100429446,6.88968049925047e-09
"49","simvar83",7.04256887181319,1.15021859514581e-12,1.09500810257881e-09,6.10955633237876,5.48492409719251e-10,0.19631981806769,5.21067789233289e-07
"50","simvar23",7.02002423488926,1.34863919044563e-12,1.28255587011379e-09,6.34555925168625,1.2348818387304e-10,0.203903355670305,1.18054703782626e-07
"51","var811",6.97151179940916,1.89635638889405e-12,1.80153856944935e-09,4.59414212095691,2.24132763797581e-06,0.147624654933366,0.00205978009929977
"52","simvar57",6.94707990965232,2.24960125339884e-12,2.1348715894755e-09,7.01945962760844,1.30764429058836e-12,0.225557955775331,1.26841496187071e-09
"53","simvar6",6.9299594696249,2.53481180091691e-12,2.40300158726923e-09,5.17871175056122,1.17355467221439e-07,0.16640876904712,0.000109375295450381
"54","simvar19",6.91101235046839,2.89186460548504e-12,2.73859578139434e-09,5.99097601027417,1.1372994211896e-09,0.192509448542393,1.07702255186655e-06
"55","simvar62",6.88072422915435,3.56749716529097e-12,3.37485231836526e-09,6.4513215407846,6.22295030490108e-11,0.207301840310535,5.95536344179034e-08
"56","simvar78",6.85809547904553,4.17105749379918e-12,3.94164933164022e-09,6.71021627229124,1.11178118838819e-11,0.215620965926696,1.06953350322944e-08
"57","var437",6.84804545229235,4.47020806774736e-12,4.21987641595351e-09,4.74124193166714,1.1000053472704e-06,0.152351447928689,0.00101640494087785
"58","simvar21",6.82486949056109,5.24252854328696e-12,4.9437044163196e-09,5.64251107438793,8.97490879757101e-09,0.181312142372451,8.47231390490703e-06
"59","var374",6.76432309670504,7.93094637272038e-12,7.4709514831026e-09,4.16237748371508,1.60875928779759e-05,0.133750659765802,0.0145753591474462
"60","simvar90",6.7285905377235,1.01094373367187e-11,9.51298053385231e-09,5.16870665903414,1.23768838155553e-07,0.166087273075647,0.00011522878832282
"61","var869",6.70931694934991,1.15176294872835e-11,1.08265717180464e-08,4.79026460546784,8.63780935192653e-07,0.153926705096013,0.000798997365053204
"62","simvar33",6.57353560143953,2.85804154781605e-11,2.68370101339927e-08,5.20966940394563,9.94813417919043e-08,0.167403538642421,9.28160918918467e-05
"63","simvar61",6.49242060384376,4.87836185835703e-11,4.5759034231389e-08,5.25945390152784,7.61220023791874e-08,0.169003275673429,7.11740722245402e-05
"64","simvar54",6.43492267721767,7.09977622502059e-11,6.65249032284429e-08,6.66167413758996,1.54298572554542e-11,0.214061150035865,1.4812662965236e-08
"65","simvar74",6.42494433920908,7.57512003775825e-11,7.09031235534172e-08,5.07742592850297,2.00230993060525e-07,0.163154127780629,0.000186014592553228
"66","simvar59",6.4201809668929,7.81287230793711e-11,7.3050356079212e-08,6.11453354127635,5.31803092915635e-10,0.196479751897923,5.05744741362769e-07
"67","simvar85",6.37647473141818,1.03639205247698e-10,9.679901770135e-08,4.58375575141675,2.35502091166339e-06,0.147290907265355,0.00216190919690699
"68","simvar94",6.36048856495008,1.1487175674977e-10,1.07175349047535e-07,5.99952227891552,1.07955089025388e-09,0.19278406781318,1.02341424396068e-06
"69","simvar53",6.32061637082151,1.48327124753775e-10,1.38240880270518e-07,6.72378219654437,1.01406587197139e-11,0.216056882978018,9.77559500580422e-09
"70","var507",6.24796518849342,2.35405430000227e-10,2.19162455330211e-07,4.60787388303941,2.09906680262344e-06,0.148065900890866,0.00193114145841356
"71","var58",6.2202608444354,2.8037682200654e-10,2.60750444466082e-07,4.33339278637923,7.52650141437643e-06,0.139245934918253,0.00687169579132568
"72","var38",6.16085237640122,4.06908562859728e-10,3.78018054896687e-07,4.17812777068305,1.50178849156056e-05,0.134256767460673,0.0136212216184543
"73","simvar26",6.10551970062738,5.73925671968127e-10,5.32603023586422e-07,5.3264902227866,5.28917392484758e-08,0.171157369633362,4.95066679365734e-05
"74","simvar75",6.09552456433019,6.105227175534e-10,5.65954559172002e-07,5.65971622207666,8.12658451840555e-09,0.181864999450824,7.67962236989324e-06
"75","simvar9",6.08459332083225,6.53153891431564e-10,6.04820503465629e-07,4.23921974314801,1.14746799287008e-05,0.136219850255435,0.0104419587351177
"76","var888",6.05291994203007,7.93736046616293e-10,7.34205843120071e-07,2.89132460786099,0.00192871457235182,0.0929076171999057,1
"77","var481",5.92218622460383,1.75700222104263e-09,1.62347005224339e-06,3.04882442205654,0.00115640265845481,0.0979685959660227,1
"78","var274",5.89721186904815,2.0412714435854e-09,1.88409354242933e-06,4.49004800944654,3.66330283424365e-06,0.144279774237965,0.00335924869900142
"79","simvar41",5.84876082426408,2.72598573101333e-09,2.51335884399429e-06,5.24471247190056,8.24201313557447e-08,0.168529585830003,7.69804026862656e-05
"80","var744",5.83925659319295,2.88438444360215e-09,2.65651807255758e-06,2.52785293442151,0.00575770934040473,0.0812280959842275,1
"81","simvar50",5.8291993272063,3.06175019090465e-09,2.81681017563228e-06,6.30628968975324,1.58841282759803e-10,0.202641497552486,1.51693425035612e-07
"82","simvar68",5.82447088517251,3.14876447045425e-09,2.89371454834746e-06,4.83708425349099,6.84238790593598e-07,0.15543117191518,0.000633605120089672
"83","simvar27",5.78587366280996,3.95496034953201e-09,3.63065360087039e-06,5.35885351438507,4.42983946017182e-08,0.17219730693372,4.15518941364117e-05
"84","var218",5.75570428355487,4.72173605117844e-09,4.32983195893063e-06,3.23182036597412,0.000620138244561436,0.103848847896368,0.548822346436871
"85","var452",5.71746344497335,5.90357375085195e-09,5.40767355578039e-06,2.90333743907784,0.00185640581264477,0.0932936283455058,1
"86","var664",5.64563838903109,8.94764021983671e-09,8.18709080115059e-06,3.8578834101678,5.81107298607479e-05,0.123966279711119,0.0524158783343946
"87","var253",5.60820569431205,1.10914798425245e-08,1.01376125760674e-05,3.5581177338849,0.000188984816888607,0.114333838363633,0.169141411115303
"88","simvar16",5.57678738702264,1.32690411627436e-08,1.21146345815849e-05,4.69533472291834,1.37663092218818e-06,0.150876300736446,0.00127063034117969
